Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 07, 2026,  8 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
317,QB,CIN,Joe Flacco,6,27,,,,,,,,,
318,RB,SF,Kyle Juszczyk,8,25.94,,,,,,,,,
319,QB,NYJ,Cade Klubnik,13,25.93,,,,,,,,,
320,QB,ARI,Carson Beck,14,25.33,,,,,,,,,
321,QB,JAC,Quinn Ewers,8,24.39,,,,,,,,,
322,QB,DET,Joshua Dobbs,6,24.29,,,,,,,,,
323,QB,BAL,Tyler Huntley,13,23.78,,,,,,,,,
324,QB,SF,Mac Jones,8,22.79,,,,,,,,,
325,RB,NO,Kendre Miller,8,22.41,,,,,,,,,
326,QB,MIN,J.J. McCarthy,6,20.54,,,,,,,,,
327,RB,MIN,Max Bredeson,6,19.94,,,,,,,,,
328,QB,DAL,Sam Howell,14,19.53,,,,,,,,,
329,QB,MIA,Kyle McCord,6,19.52,,,,,,,,,
330,QB,LAR,Ty Simpson,11,18.9,,,,,,,,,
331,RB,LV,Connor Heyward,14,18.79,,,,,,,,,
332,RB,UFA,Kareem Hunt,0,18.75,,,,,,,,,
333,QB,SEA,Drew Lock,11,63.56,,,,,,,,,
334,QB,MIN,Carson Wentz,6,17.46,,,,,,,,,
335,RB,DEN,Tyler Badie,10,16.19,,,,,,,,,
336,RB,LV,Dylan Laube,13,16.09,,,,,,,,,
337,DST,LAC,LA Chargers,7,139.47,,,,,,,,,
338,DST,BAL,Baltimore,13,139.34,,,,,,,,,
339,DST,JAC,Jacksonville,7,138.39,,,,,,,,,
340,K,SF,Eddy Pineiro,8,137.31,,,,,,,,,
341,K,TB,Chase McLaughlin,10,137.27,,,,,,,,,
342,DST,DET,Detroit,6,137.09,,,,,,,,,
343,K,GB,Trey Smack,11,135.55,,,,,,,,,
344,K,NE,Andy Borregales,11,135.48,,,,,,,,,
345,K,DET,Jake Bates,6,132.98,,,,,,,,,
346,DST,CHI,Chicago,10,132.84,,,,,,,,,
347,K,PIT,Chris Boswell,9,132.82,,,,,,,,,
348,K,DEN,Wil Lutz,10,132.6,,,,,,,,,
349,K,KC,Harrison Butker,5,131.99,,,,,,,,,
350,DST,TB,Tampa Bay,10,130.29,,,,,,,,,
351,DST,NYG,NY Giants,8,130.25,,,,,,,,,
352,DST,NO,New Orleans,8,129.85,,,,,,,,,
353,K,IND,Spencer Shrader,13,129.56,,,,,,,,,
354,DST,IND,Indianapolis,13,129.36,,,,,,,,,
355,K,BAL,Tyler Loop,13,128.39,,,,,,,,,
356,DST,KC,Kansas City,5,127.88,,,,,,,,,
357,DST,GB,Green Bay,11,127.8,,,,,,,,,
358,K,ATL,Nick Folk,11,127.7,,,,,,,,,
359,DST,SF,San Francisco,8,126.6,,,,,,,,,
360,DST,TEN,Tennessee,9,126.59,,,,,,,,,
361,K,CIN,Evan McPherson,6,123.96,,,,,,,,,
362,K,NO,Daniel Carlson,8,119.5,,,,,,,,,
363,K,BUF,Tyler Bass,7,117.58,,,,,,,,,
364,K,TEN,Joey Slye,9,117.41,,,,,,,,,
365,K,PHI,Jake Elliott,10,114.42,,,,,,,,,
366,K,CAR,Ryan Fitzgerald,5,107.74,,,,,,,,,
367,K,NYG,Dominic Zvada,8,106.5,,,,,,,,,
368,K,WAS,Drew Stevens,7,105.67,,,,,,,,,
369,K,CLE,Andre Szmyt,11,104.65,,,,,,,,,
370,K,LV,Matt Gay,13,104.33,,,,,,,,,
371,K,MIA,Riley Patterson,5,103.45,,,,,,,,,
